"cohort_year","client_total_revenue","client_count","avg_client_revenue"
2015,14892230.469868412,2825,5271.586007033066
2016,18360521.738402583,3397,5404.922501737587
2017,21979733.96408646,4068,5403.081112115649
2018,36460385.4237634,7446,4896.640535020602
2019,36696243.8765804,7755,4731.946341274069
2020,11921900.968580445,3031,3933.3226554208
2021,18387736.17938562,4663,3943.327510054819
2022,29872808.298764743,9010,3315.5170142913144
2023,14979328.333089933,5890,2543.17968303734
2024,2856649.3275427977,1402,2037.5530153657614
